sillas para jardin,,5000,0%,0%,高,100,2.16,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para recepcion,,500,0%,0%,高,100,7.67,95.23,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para restaurante,,5000,0%,0%,高,99,5.28,46.33,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para terraza,,5000,0%,0%,高,100,1.06,12.07,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas terraza,,5000,0%,0%,高,100,1.33,11.92,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas y mesas para cafetería,,5000,0%,0%,高,93,5.37,79.58,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillon terraza,,5000,0%,0%,高,100,1.53,10.27,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones cafeteria,,5000,0%,0%,高,99,1.60,15.56,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones de hotel,,5000,0%,-90%,低,11,1.69,43.40,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones de terraza,,5000,0%,0%,高,100,1.10,7.65,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones exterior,,5000,0%,0%,高,100,3.60,25.88,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones para exterior,,5000,0%,0%,高,100,3.19,19.77,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillones para terraza,,5000,-90%,0%,高,100,1.24,9.70,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sofa terraza,,5000,0%,0%,高,100,1.86,12.12,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
solicitar cotización mobiliario hotelero,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
terraza fierro,,5000,0%,0%,低,15,2.69,11.93,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
terraza muebles,,5000,0%,0%,高,100,1.69,14.70,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
terraza oferta,,5000,-90%,0%,高,100,0.79,4.23,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
terraza vintage,,500,0%,900%,低,10,2.22,9.47,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
terrazas rústicas,,5000,0%,0%,低,29,2.24,11.38,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
