keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
periqueras para restaurante,hotel-products-a5,500,高,10.96,70.23,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
proveedor hotelero,hotel-industry-supplier-a1,500,低,21.11,75.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch1-industry-supplier.csv"
ratan sintético,hotel-products-a5,500,高,1.38,10.45,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
recepcion con vitrina,hotel-conversion-china-a6,500,中,3.72,37.20,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
recepciones modernas,hotel-conversion-china-a6,500,中,6.89,37.62,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
recepciones modernas pequeñas,hotel-conversion-china-a6,500,中,8.34,36.95,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
restaurante mesas,hotel-products-a5,500,低,27.90,69.63,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sabana hotelera,hotel-space-product-a4,500,高,4.79,49.13,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
sala exterior jardin,hotel-products-a5,500,高,4.47,25.80,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sala jardin exterior,hotel-products-a5,500,高,3.68,22.81,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
salas exteriores modernas,hotel-products-a5,500,高,5.17,19.09,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
salas para jardin exterior,hotel-products-a5,500,高,2.76,19.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
salas para terrazas cubiertas,hotel-products-a5,500,高,,,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
seccional terraza,hotel-products-a5,500,高,2.14,11.81,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
set terraza 4 personas,hotel-products-a5,500,高,1.57,7.14,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla alta bar,hotel-products-a5,500,高,1.98,13.67,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla alta para barra con respaldo,hotel-products-a5,500,高,1.18,13.93,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar blanca,hotel-products-a5,500,高,2.10,10.60,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar con respaldo,hotel-products-a5,500,高,1.92,8.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar madera,hotel-products-a5,500,高,2.58,10.86,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar negra,hotel-products-a5,500,高,2.04,9.49,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar plegable,hotel-products-a5,500,高,1.81,12.57,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bistro,hotel-products-a5,500,高,4.35,45.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla colgante de terraza,hotel-products-a5,500,高,0.45,5.18,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla columpio para jardin,hotel-products-a5,500,高,2.00,12.94,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla comedor exterior,hotel-products-a5,500,高,6.15,42.01,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla de metal para jardin,hotel-products-a5,500,高,1.60,19.21,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla de terraza colgante,hotel-products-a5,500,高,1.05,5.52,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla desayunador,hotel-products-a5,500,高,2.84,17.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla estibable,hotel-products-a5,500,高,3.37,95.36,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla mecedora exterior,hotel-products-a5,500,高,2.30,16.70,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla mecedora jardin,hotel-products-a5,500,高,1.58,13.60,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla mecedora para jardin,hotel-products-a5,500,高,1.89,10.38,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla mecedora terraza,hotel-products-a5,500,高,1.28,6.49,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla para terraza exterior,hotel-products-a5,500,高,1.92,20.82,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla plastica terraza,hotel-products-a5,500,高,2.28,16.96,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla ratan terraza,hotel-products-a5,500,高,1.53,7.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla terraza colgante,hotel-products-a5,500,高,1.84,8.87,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla terraza lider,hotel-products-a5,500,高,0.54,13.32,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla terraza negra,hotel-products-a5,500,高,2.49,16.05,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas barra,hotel-products-a5,500,高,2.08,20.18,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas de bar,hotel-products-a5,500,高,2.09,11.63,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas para barra de cocina,hotel-products-a5,500,高,1.06,8.74,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas para barra de madera,hotel-products-a5,500,高,0.71,13.66,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas sodimac,hotel-products-a5,500,高,0.67,6.52,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas balcon,hotel-products-a5,500,高,1.57,13.91,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas bancos para barra,hotel-products-a5,500,高,2.46,18.50,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas bar sodimac,hotel-products-a5,500,高,0.62,6.04,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas barra cocina,hotel-products-a5,500,高,1.28,11.36,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas cafeteria,hotel-products-a5,500,高,6.57,66.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas cafeterias,hotel-products-a5,500,高,6.57,66.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas colgantes de terraza,hotel-products-a5,500,高,0.33,6.66,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas colgantes para jardin,hotel-products-a5,500,高,1.60,9.77,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas colgantes para terrazas,hotel-products-a5,500,高,0.51,4.54,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas comedor exterior,hotel-products-a5,500,高,6.15,42.01,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas comedor terraza,hotel-products-a5,500,高,2.39,14.92,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de aluminio para jardin,hotel-products-a5,500,高,2.03,16.90,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de balcon,hotel-products-a5,500,高,1.27,8.86,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de bar con respaldo,hotel-products-a5,500,高,1.71,9.54,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de bar easy,hotel-products-a5,500,高,1.29,7.91,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de bar madera,hotel-products-a5,500,高,1.39,7.37,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de bar negras,hotel-products-a5,500,高,1.53,8.80,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de barra de cocina,hotel-products-a5,500,高,1.04,9.33,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de cafeteria,hotel-products-a5,500,高,4.15,54.42,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de descanso para terraza,hotel-products-a5,500,高,0.61,9.06,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de exterior modernas,hotel-products-a5,500,高,4.95,22.48,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de fierro para terraza,hotel-products-a5,500,高,0.64,7.57,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de hoteleria,hotel-industry-supplier-a1,500,低,10.89,49.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch1-industry-supplier.csv"
sillas de jardin de hierro,hotel-products-a5,500,高,1.60,11.23,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardin de madera,hotel-products-a5,500,高,3.74,17.25,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardin madera,hotel-products-a5,500,高,3.74,17.25,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardín plástico,hotel-products-a5,500,高,1.84,13.37,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardin plegables,hotel-products-a5,500,高,1.60,14.03,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardin tejidas,hotel-products-a5,500,高,2.34,16.21,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera para barra,hotel-products-a5,500,高,1.28,12.34,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera para jardin,hotel-products-a5,500,高,1.92,12.34,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera para patio,hotel-products-a5,500,高,3.26,12.53,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera para restaurante,hotel-products-a5,500,高,7.80,46.49,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera para terraza,hotel-products-a5,500,高,1.45,15.13,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de madera terraza,hotel-products-a5,500,高,0.86,9.67,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de metal para jardin,hotel-products-a5,500,高,1.60,19.21,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de mimbre terraza,hotel-products-a5,500,高,0.94,7.78,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de patio,hotel-products-a5,500,高,2.22,22.15,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de plastico jardin,hotel-products-a5,500,高,1.84,13.37,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de plastico para jardin,hotel-products-a5,500,高,1.85,15.71,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de ratan exterior,hotel-products-a5,500,高,2.67,21.77,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de ratan para terraza,hotel-products-a5,500,高,1.22,8.59,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de recepcion,hotel-conversion-china-a6,500,高,6.39,58.87,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
sillas de restaurante,hotel-products-a5,500,高,5.38,46.06,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza baratas easy,hotel-products-a5,500,高,0.35,6.90,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza baratas segunda mano,hotel-products-a5,500,高,0.86,3.22,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza easy,hotel-products-a5,500,高,0.46,6.16,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza plásticas,hotel-products-a5,500,高,1.04,6.80,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza plegables,hotel-products-a5,500,高,1.12,8.05,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza promart,hotel-products-a5,500,高,0.36,2.32,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza rattan,hotel-products-a5,500,高,0.91,10.51,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas exterior jardin,hotel-products-a5,500,高,4.70,43.96,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas exterior terraza,hotel-products-a5,500,高,1.93,18.76,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas giratorias para bar,hotel-products-a5,500,高,1.60,18.55,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas giratorias para barra,hotel-products-a5,500,高,1.60,18.55,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas jardin exterior,hotel-products-a5,500,高,3.90,27.23,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas madera terraza,hotel-products-a5,500,高,1.65,12.11,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas mesas restaurante,hotel-products-a5,500,高,8.20,56.73,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas mimbre terraza,hotel-products-a5,500,高,1.76,10.18,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas modernas para bar,hotel-products-a5,500,高,3.00,15.24,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas modernas para barras,hotel-products-a5,500,高,3.00,15.24,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas outdoor,hotel-products-a5,500,高,2.27,26.65,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para balcon,hotel-products-a5,500,高,1.60,11.07,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para balcon pequeño,hotel-products-a5,500,高,1.33,9.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para barra de cocina modernas,hotel-products-a5,500,高,0.72,9.57,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para barra desayunadora,hotel-products-a5,500,高,1.65,14.67,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para barra modernas,hotel-products-a5,500,高,3.00,15.24,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para exterior baratas,hotel-products-a5,500,高,1.64,11.83,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para exterior tejidas,hotel-products-a5,500,高,2.88,20.55,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para jardín baratas,hotel-products-a5,500,高,2.13,11.08,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para jardin exterior,hotel-products-a5,500,高,2.02,18.77,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
